epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,19109.8,0.72518,0.422,0.98885,0.9025,0.88797,0.92563,0.70698,0.94378,0.52045,1.12294,0.0009803,0.0009803,0.0009803
105,19290.1,0.71087,0.41842,0.97557,0.91778,0.90871,0.94276,0.72987,0.86664,0.51018,1.06664,0.0009704,0.0009704,0.0009704
106,19470.6,0.70295,0.41341,0.97591,0.89573,0.89111,0.93182,0.7022,0.88861,0.60236,1.0869,0.0009605,0.0009605,0.0009605
107,19662.7,0.69877,0.40262,0.96829,0.93272,0.88797,0.9345,0.71745,0.84971,0.56828,1.05782,0.0009506,0.0009506,0.0009506
108,19832.6,0.68828,0.39669,0.9745,0.92263,0.8906,0.93763,0.71889,0.89229,0.55011,1.04966,0.0009407,0.0009407,0.0009407
109,20014.5,0.67754,0.39045,0.96031,0.92609,0.88382,0.9382,0.74322,0.84442,0.50363,1.03866,0.0009308,0.0009308,0.0009308
110,20189,0.70205,0.40268,0.97642,0.88689,0.87848,0.92867,0.72109,0.90858,0.54917,1.0717,0.0009209,0.0009209,0.0009209
111,20360.8,0.68584,0.40192,0.96846,0.8783,0.92116,0.93674,0.72136,0.91054,0.54003,1.0812,0.000911,0.000911,0.000911
112,20536.9,0.68197,0.39656,0.96622,0.912,0.85892,0.92359,0.71211,0.92494,0.56901,1.07753,0.0009011,0.0009011,0.0009011
113,20711.5,0.69267,0.39763,0.96873,0.92487,0.91941,0.93682,0.7319,0.83707,0.49314,1.03136,0.0008912,0.0008912,0.0008912
114,20880.5,0.69123,0.39579,0.96377,0.91624,0.87137,0.92756,0.72263,0.9158,0.56379,1.08281,0.0008813,0.0008813,0.0008813
115,21059.2,0.66558,0.38616,0.95904,0.93114,0.8977,0.9488,0.75656,0.828,0.46097,1.01868,0.0008714,0.0008714,0.0008714
116,21230,0.65324,0.37735,0.94991,0.85918,0.91286,0.9335,0.70824,0.96147,0.56152,1.12684,0.0008615,0.0008615,0.0008615
117,21389.2,0.67566,0.38653,0.96326,0.91733,0.9208,0.93516,0.71323,0.94449,0.5672,1.11746,0.0008516,0.0008516,0.0008516
118,21556.7,0.6615,0.38899,0.96063,0.91243,0.91701,0.95061,0.74498,0.84507,0.51142,1.0408,0.0008417,0.0008417,0.0008417
119,21727.6,0.64869,0.38233,0.94788,0.92719,0.91701,0.95664,0.76523,0.79801,0.46991,1.00874,0.0008318,0.0008318,0.0008318
120,21877.6,0.6472,0.37763,0.94483,0.9181,0.90041,0.93947,0.73906,0.81993,0.49858,1.03484,0.0008219,0.0008219,0.0008219
121,22030.5,0.63917,0.36515,0.94797,0.88905,0.89773,0.93741,0.73447,0.88632,0.5394,1.06666,0.000812,0.000812,0.000812
122,22192,0.64793,0.37948,0.95227,0.90847,0.90609,0.94388,0.74796,0.8207,0.46809,1.04253,0.0008021,0.0008021,0.0008021
123,22358.3,0.63731,0.36422,0.93727,0.89562,0.90041,0.94802,0.74911,0.82326,0.4773,1.02914,0.0007922,0.0007922,0.0007922
124,22519,0.63434,0.37162,0.94568,0.92025,0.89627,0.93638,0.73518,0.83704,0.51054,1.03287,0.0007823,0.0007823,0.0007823
125,22674.4,0.63494,0.37349,0.94631,0.90015,0.93522,0.95032,0.75427,0.79412,0.46151,1.00814,0.0007724,0.0007724,0.0007724
126,22845.4,0.62884,0.36804,0.93753,0.92673,0.89217,0.94349,0.73601,0.82454,0.47434,1.03945,0.0007625,0.0007625,0.0007625
127,23015.1,0.62555,0.36363,0.93645,0.92697,0.89212,0.93109,0.74211,0.82702,0.4665,1.03698,0.0007526,0.0007526,0.0007526
128,23204.6,0.63128,0.36047,0.94603,0.89585,0.92946,0.95352,0.76668,0.76877,0.43489,0.99815,0.0007427,0.0007427,0.0007427
129,23376.5,0.62348,0.36026,0.93419,0.92347,0.91701,0.96012,0.75147,0.80832,0.45505,1.03539,0.0007328,0.0007328,0.0007328
130,23552.9,0.6163,0.35676,0.92987,0.90904,0.91229,0.94464,0.74423,0.81315,0.47609,1.02146,0.0007229,0.0007229,0.0007229
131,23729.6,0.63221,0.36362,0.93688,0.90942,0.92531,0.94121,0.74882,0.78939,0.46937,1.01508,0.000713,0.000713,0.000713
132,23927.1,0.62427,0.36399,0.93675,0.91805,0.90871,0.94291,0.73296,0.87053,0.49314,1.05481,0.0007031,0.0007031,0.0007031
133,24100.4,0.6372,0.3654,0.93845,0.92173,0.92837,0.9476,0.75975,0.78678,0.4169,1.01635,0.0006932,0.0006932,0.0006932
134,24273.8,0.60367,0.35397,0.93149,0.92417,0.91033,0.95081,0.76628,0.79022,0.4485,1.0095,0.0006833,0.0006833,0.0006833
135,24442.7,0.62405,0.36514,0.9339,0.91684,0.90041,0.94446,0.7566,0.80175,0.45463,1.04118,0.0006734,0.0006734,0.0006734
136,24617.6,0.60058,0.34708,0.92506,0.90239,0.90041,0.93748,0.71854,0.89412,0.50554,1.08407,0.0006635,0.0006635,0.0006635
137,24784.6,0.60001,0.35086,0.93208,0.94102,0.92116,0.9517,0.75218,0.81714,0.46913,1.03752,0.0006536,0.0006536,0.0006536
138,24966.1,0.5986,0.35035,0.93044,0.92174,0.90456,0.93884,0.75243,0.8206,0.46466,1.04673,0.0006437,0.0006437,0.0006437
139,25144.3,0.60395,0.3553,0.92747,0.91257,0.90041,0.93643,0.74191,0.81699,0.46639,1.04731,0.0006338,0.0006338,0.0006338
140,25325.4,0.60353,0.35194,0.92778,0.9337,0.87647,0.93888,0.74668,0.82755,0.4762,1.047,0.0006239,0.0006239,0.0006239
141,25503.2,0.57374,0.33698,0.91705,0.9025,0.91286,0.9385,0.74495,0.82859,0.48042,1.04549,0.000614,0.000614,0.000614
